gen,sp,group,en,cnt,loc,lat,lng,alt,method,date,rmk
Prinia,lepida,birds,Delicate Prinia,India,"Vadhla Dam, Moti Kathechi, Surendranagar, Gujarat",22.9146,71.9718,10,field recording,2019-02-03,
Prinia,lepida,birds,Delicate Prinia,India,"Harike wetlands, Talwandi Nepalan, Ferozepur, Punjab",31.1358,74.9525,220,field recording,2016-01-14,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Tambdi Surla, Bhagwan Mahaveer Wildlife Sanctuary, Goa",15.375,74.2542,190,field recording,2009-05-05,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Tambdi Surla, Bhagwan Mahaveer Wildlife Sanctuary, Goa",15.375,74.2542,190,field recording,2009-05-05,
Prinia,lepida,birds,Delicate Prinia,India,"West of Chhari Lake, Kutch, Gujarat (1)",23.261,69.2036,180,field recording,2013-01-30,"Same bird as on XC149603, calling in a very small patch of dense tall reedy vegetation close to the lake"
Prinia,lepida,birds,Delicate Prinia,India,"West of Chhari Lake, Kutch, Gujarat (1)",23.261,69.2036,180,field recording,2013-01-30,
Prinia,lepida,birds,Delicate Prinia,India,little rann of kutch gujarat india,23.1359,71.7451,?,field recording,2011-12-30,
Prinia,lepida,birds,Delicate Prinia,India,Dibru Saikhowa,27.6167,95.5501,?,field recording,0000-00-00,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County, Kerala",10.1274,76.7546,60,field recording,2016-02-03,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County, Kerala",10.1274,76.7546,60,field recording,2016-02-01,
Chloropsis,moluccensis,birds,Blue-winged Leafbird,India,"Aizawl, Aizawl, Mizoram",23.733,92.6673,800,field recording,2018-10-24,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County, Kerala",10.1273569,76.7545867,,field recording,2017-04-11,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County, Kerala",10.1273569,76.7545867,,field recording,2017-04-11,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Kakkadampoyil, Malappuram, Kerala",11.3362,76.1102,650,field recording,2017-03-19,
Prinia,lepida,birds,Delicate Prinia,India,"Desert National Park, Thar Desert, near Jaisalmer, Rajasthan",27.2575,70.892,170,field recording,2016-01-14,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,Netravali WLS,15.2514,74.2411,380,field recording,2014-11-23,The calling bird not seen but saw two birds later in afternoon.Recording was amplified & removed noise.
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Bhagwan Mahaveer Sanctuary And Mollem National Park (near  Mollem), South Goa, Goa",15.4411,74.2544,140,field recording,2014-04-17,"Forest type: Semi-evergreen
"
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Dedorem, Mhadei WLS, Satari - Goa",15.5928,74.2334,170,field recording,2014-03-23,
Prinia,lepida,birds,Delicate Prinia,India,"Burha Mayang Par, Kamrup, Assam",26.2539,91.9132,50,field recording,2019-01-26,
